,M,"	Okay, there you go. So that's recording now. Alright, so let's just begin with your first move to Canada. When did you first move to Canada?"
0,Mi,"	It was 24, August 2009. And I came up with study permit. My whole point was just to come here and get my education rather than settling here or having an immigration experience. So, I just wanted to focus on the education part."
1,M,"	Okay, and what sort of program did you study?"
2,Mi,"	I took the post-secondary International Business program. So, it was a college program. And at the same time, it was a full-time study. So, during this program, I didn't have a chance to work, even though I had the chance to get the on campus work permit, but because of the timeframe, it was a really intense program. I didn't have a chance to work with doing this one year period."
3,M,"	Okay, so and what were the motivations behind your move? Like what what did you consider in making the decision to move to Canada?"
4,Mi,"	So that's a good question actually. Not specifically Canada because I would like to start, I would like to back forward with a bit… a bit regarding the Austria experience because I always wanted to have an experience for the different cultures different kind of atmosphere that I could, I would have access to in this case, to gain more, not just the knowledge, not just the experience but to be part of an interaction, human interaction, because and then I decided to go to Austria which was part of the exchange program that I was in. I was doing my undergrad and political science. So, after that exchange program I felt totally different. My old stereotypes were demolished on my mind, which was amazing."
5,M,	And this was ? Where did you go? Sorry?
6,Mi,"	Austria. So it was the year was 2008. So, the year after, I definitely wanted to have a chance to experience different cultures. So, I knew that European culture was pretty much the same, especially in the Western Europe. So especially on also the education system was the same. And I wanted to try either Australia, as I mentioned to you before or Canada. So, the main motivation was, of course, as I said, to broaden my horizons, for not just the educational aspect, but just to learn different cultures to engage with different kind of atmosphere. And I think education was good tool to get myself into that door. So, but making the decision specifically Canada, that was one of my father's friend that he's Turkish, but he got married with a Canadian. So yes, so he was highly recommending about going to Canada but he was mostly endorsing about immigration processes more easier in Canada, but I was insisting on the fact that my intention is not the immigration at first place compared to other like the majority of people. So, but he was still insisting on Australia is tough on immigration. So, you better just go to Canada. And, but the motivation was for me to go to Australia. I mean, for me to want to go to Australia was climate. Of course, it was nice climate, the landscape. The culture itself, have it looked from Turkey from my perspective, of course, I never been in Australia before. Yeah, so I made a decision of course with some of the endorsements from my friend. And also, the second part was there was an educational consultancy firm that they came to my campus when I was doing my undergrad in Turkey. And they did a seminar regarding the education institutions in Canada. So, that was also a bit tempting for me how to education system is good in Canada, I mean, compared to Turkey specifically, and it was also different… not entirely different, but there was certain differences compared to Europe. So, in this case, I would like to I just want to decide to move forward with Canada so that was the main reason."
7,M,"	Okay, great. Okay. And so this is I'm after your undergrad in Turkey and your ethnic background is Turkish?"
8,Mi,"	I am Turkish I was born in Turkey and raised in Turkey till 21-year-old. And after 21, I went to Austria, the one without the kangaroos. Yeah, that's the joke actually. So, yes, and 2008 was the year. But also, I have, over there because the international student community was so active, I didn't have a chance to engage with the Austrian culture itself. It was mostly field trips, backpacking and similar things. But other than that, I was mostly melted in the same pot with other international students. So, I think I would say it was a better experience for me because it was an amazing experience in terms of having some friendships from South Korea, from Australia to from US from parts of Europe, from Africa, so it was it was good. I mean, I had some roommates from Ireland and Spain. So, I never had this experience before. And it was teaching me so many things, how to share the common space, how to share different cultures and respect each other in certain terms, even though I wasn't accepting certain things at first place, but it's helped me to absorb and respect them. And then the next stage was to gain some cultural share. So, which was important for me, and then I enjoyed it. I enjoyed that time being and then yes, I decided to take the next step. And that was Canada."
9,M,	So why not Austria itself? Like why didn't you think of Austria as the did you think of it? Maybe?
10,Mi,"	I never thought of it. I taught mostly in Europe, somewhere in Europe. I personally, I like Mediterranean countries because of the climate as well as the culture itself is more welcoming in general, again, it depends on person to person but and also, I knew from my knowledge and as well as some of the Turkish diaspora in Austria and Germany, and I was mostly talking with them day to day basis. So their Austrian experience wasn't that satisfactory in terms of racist behaviour in terms of, in terms of the how the integration process was missing and was not welcoming especially the first generation, the law and second generation and third generation they were partially pushing themselves where I wouldn't want to use ‘pushing’ but they would like to they wanted to try to be part of it. But again, the integration whole in Europe is all different country by country. People were thinking that just because of the common language Germany and Austria have the same kind of integration policy, but I think it's different. I found Germany is more welcoming, especially even though the integration fail. It was accepted by the chancellor. I think it was 2006 that he admitted publicly that integration process failed. But even though the integration process failed, I found during my trips in Germany, and also my classmates that who were from Germany, they were more welcoming, they were more friendly, and they didn't make me feel that I was stranger. But I had, I had two Austrian roommates that we were sharing the same building, but they were not that welcoming. And they were not that friendly. But maybe it's just we can limit for that two people. But in general, even when I was going to the supermarket or when I was going to a bar. It was different. I mean, you could sense that. It was a small town which is called, which is named Kufstein, but it's really closer to the one of the biggest cities in the western side of Austria. It's called Innsbrooke. So it's a 15 minutes difference, as you can imagine the differences in Europe is as I mean distances in Europe is not that huge. And there's a connectivity in terms of the location and the train system. The transportation system is well organized. So yeah, I mean, it was closer also to Munich as well, one of the biggest cities in Germany. So, it was 45 minutes remaining 15 minutes to Innsbrook. So, it was really good in terms of the location… to the Italy border, the Italian border was one and a half hour so it was in the central hub of Europe pretty much."
11,Mi,"	yes, my at my schoo…l I mean my time being in Austria was finished in May 2008. That was for one year. So, May 2008 I packed my luggage and I had to come back to Turkey. I had a Diploma ceremony for my undergrad so that was… I was busy with all summer regarding this and then also I planned ahead that I needed I needed to apply for certain programs in Canada and Australia as well. So, I decided mostly the Canada as I explained to you earlier and then application process started. And then, sorry, my application process started in my second term when I was in Austria. And then, I applied for. For the program, I got a approval from the program from graduate college International Business diploma program. So, then that was three, four months period that I applied for visa for Canada. I prepared my documentation. And as you can imagine all that preparation to go to a new country like your health insurance or travel insurance and all that. So, then it was 24th August in 2009, and I travelled to Canada, Dallas for educational purposes. "
12,M,"	Okay, so let's know let's talk about your professional background. What's your"
13,professional background? ,
14,Mi,"	My professional background, I studied international relations. So, some people think that it's a profession, but an academic field shouldn't be a profession. It's a, it's a different aspect. But in Turkey, the understanding of academics is totally different. They treat the academic programs as a college program, but that's why that's one of the missing parts, my personal opinion that in Turkey, there are some college programs existing but it's not that sufficient or it's not utilize it utilizing it in a good way. That's different topic but to answer your question, yes, I graduated from international relations program, which was in back home in Turkey. But during this summer times, I actually worked in, I wouldn't say work but internships mostly in some firms that was one of them was Hamza bus manufacturing company. I was in their Import Export department because the International Relations graduates in Turkey, they are mostly people, the understanding of this program, when you're working in the field, the field should be in the big companies for corporate environment in their Import/Export department. First of all, they are expecting the fact that your language level I mean, the foreign language, or let's say English, German or Italian, Spanish, whatever that the language that you have. So, they're assuming that you can manoeuvre that process more smoother compared to other administrators. So, we're basically administrator but more and more in a structured format because you have to know the export policy, import policy, and all that. So that was a dimension, but I just wanted to double it also the mandatory on the school that you needed to have that internship during that time frame. So other than that, I didn't have any work experience. So, when I came to Canada, that was my first work experience and that was abroad. So that was the interesting part."
15,M,"	Oh, and what was the first work experience? "
16,Mi,"	First work experience I, I mentioned to you earlier that I didn't have a chance to work that much at the regular college, during my studies. So that was a point that because of the financial difficulties, I had to find a job and I was working at the Indian restaurant. Yes, it was mostly serving position. And my school was typically ending at 4pm - Everyday Monday to Friday.. it's full time college program. So, as you can imagine, it's not like undergrad or something. So, 4-6, I had two hours difference and I was evaluating this time mostly either feeding myself or reading some materials and then going to the restaurant my shift was starting 6. It was ending at 2am. So that was four hours. But not every day though. I would say the hours were between 20 to 25 hours. And sometimes this restaurant was catering to the to the weddings. So, first time, I had a chance to see some Indian weddings, some Pakistani weddings, so that was fun. That was my first, but it wasn't full time. It was part time. And as you can imagine, as a student, the best way to find employment is hospitality - food and beverage. So, then the first full time experience was again hospitality. That was a Tim Hortons. But again, part of that was, so after my graduation, the process is in Canada, you have to apply for postgraduate work permit. I'm not sure they change that or not, I didn't have a chance to analyse the policy how it looks like but so I applied for this postgraduate work permit, but at that time, the ideal way of getting the Canadian permanent residency. So that was the provincial nomination program (PNP). Okay, so here's the thin line. So I wanted to get the Canadian work experience, but I heard from so many people that if you have just solo work permit, to find a job is really hard, or you can find some certain jobs, but that's not going to be as satisfactory because employers - their perspective is typically you have a work permit, there's a validity for it. So, how can we rely on your work for immigration and afterwards but if Canadian government or Immigration Canada wouldn't like you to continue with you in terms of the immigration process, so this kind of jeopardize situation for employers and also jeopardizing the employees as well. So that's why I was in between to apply the PR or not. So then I decided to move forward to be part of this PR  program, because I wanted to get the work experience here and my program itself after I joined the program, I realized that it's, there's a core program that I also joined core program, I forgot to mention, that was not paid. That was an internship as well. So, my goal again, I was still sticking with the same goal or You got your education in a different country, and you got the North American aspect. And then you can add an additional work experience to real life work experience, and then you can go back home. But again, during this time, it was so tough to find a job that compliments my, my fields like international business and international relations as well. Part of it is education. Credentials back home is not recognized by the employers. It's recognized if it's in English in Canada, that's why they accept you for the next step to be as an international student, as obvious. But - employers they typically rely on your Canadian experience either or the Canadian educational experience. So, and also consider the fact that we look at comparing two cities like Toronto or Vancouver, the job opportunities are really rare. Maybe if I would be in in Toronto or Vancouver, maybe chances would be better. But, again, I was in a position that maybe if I could get my permanent residency, then I will get the real Canadian work experience. So I was in Winnipeg. So that makes it more interesting. So during this time period, either like, okay, so you get your PR, and then you can get the ‘real’ job, but you get the PR, the PNP program. It's a bit complicated. I'm not sure if it makes sense yet. Yeah. So the permission moment of programming still continues right now, but I'm not sure how efficient it is. So, it requires that first of all, you get a job letter from a certain employer. That's not necessarily relevant. Doesn't have to be relevant to your background. But any kind of institution any kind of Corporation, Tim Hortons or Starbucks, or a catering company, any kind of field sector …needs to be full-time. So this job letter and and some other documents that you provide to provincial government and the provincial government may or may not they give you a certain credential that okay you're approved for the nominate program and the next step is to apply for the federal program which is the permanent residency."
17,Mi,"	Not Express entry, it’s the PNP. I'm not sure that it was existing at that moment. I don't want to mislead your research, but it's definitely it's definitely worth to take a look at it because we are talking about here 2011 that I applied. Sorry, that's correct. So 2011, it's worth to take a look, if there's express entry in Canada.. So during this time, I was working at Tim Hortons, but also, I was an entry level. So if I was a storefront, they name it. But also it was the suggestion of the employer that you were suggesting me if we will put you on a spot to be in the management. So, your approval from the federal would be more easier. Because you'll look like you're more skilled and it could correlate, or it could it would complement your international business diploma because you're somewhat doing the business management. Yes. So that made sense for me. And it put me in the management program, and I've worked there for entirely three years. And because the process takes took three years, and unfortunately, during this process, you're not, you don't have a chance to change your job. So that was the, that was the process. And even I got some job offers during this time, but, but I couldn't I couldn't change it."
18,M,"	Um, in terms of moving to Canada, I know that you discussed it, but like, how long did you prepare for it? Like, how did you plan? How long did you plan and think about it? How much time like did you spend doing? "
19,Mi,"	So I think it was… it also overlaps the idea of ‘going abroad’ and moving to Canada. So specifically, just to answer your question about Canada, I would say six to eight months, but going and living abroad. I wasn't sure I will live entirely all my life. But just to have the taste of that. I think that was always on my mind. Since the elementary, because I always thought that the territories are something that we didn't create. So, I wouldn't I didn't want to limit myself in a certain boundary. I knew that there was always more to explore. Yeah, so that was just my way of understanding, as a word citizen or you can name it in a different way. But Yeah, that was this idea was always there but specifically for Canada I would say six to eight months, but it was mostly the mental preparation for - I mean just googling, doing some research about the climate first thing, and some other things the job opportunities, the culture itself, the education system and so on. Whatever you can imagine, I tried to do the research as much as possible and also the fact that I am as I mentioned to you earlier, the educational consultancy firm, there are also somewhat helpful in terms of mapping it out what would be the ideal Canadian experience - that they were not sufficient in sufficient in terms of how to you know how to prepare fully, because they were get imagination was or the their way of endorsing this imagination was mostly a ‘Canadian dream’. Even though that the process of getting your work permit process of getting a PR from the residency that was totally different than whatever they told me and whatever I experienced here because they were generalizing and putting in a different format for every single person, but they didn't mention about the difficulties or they didn't mention about the cons. So they were, they were mostly focusing on just the business part rather than this person is changing his entire life. They're not talking about the career, we're not talking about life here. So unfortunately, I would say a mental preparation was four to six months and between, I would say the next 2, 3 months it was mostly the documents and preparation, documents preparation, some bureaucratic preparation, but the mental preparation was, I would say four to six months, but the entire preparation process was six to eight months. "
