,ID,Link,Date,Username,Message
0,post1722650,https://www.australiaforum.com/visas-immigration/250194-permanent-partner-visas-801-100-eligibility-notification.html#post1722650,"11-07-2017, 01:54 AM",CCMS,"
			
			Please note that the Department of Immigration and Border protection will no longer contact you when you are eligible for the permanent visa (2 years after applying for the temporary partner visa).  
 
It is up to the visa applicant to keep track of it and to provide the additional documentation for the permanent stage when required.  
 
 Failure to do so may result in your visa being refused. 
 "
1,post1740594,https://www.australiaforum.com/visas-immigration/250194-permanent-partner-visas-801-100-eligibility-notification.html#post1740594,"11-24-2017, 04:20 AM",Alice88,"
			
			I didn't know so I lodged the second stage application 10 weeks later. 
Applied 820 7/08/2015 
Applied 801 25/10/2017 
 
Will this affect the time process? 
On my IMMI account is written that application will take 16 up to 22 months for application submitted by 31st of october. 
 "
2,post1742377,https://www.australiaforum.com/visas-immigration/250194-permanent-partner-visas-801-100-eligibility-notification.html#post1742377,"11-26-2017, 02:18 AM",HRose313,"
 
 Quote: 
 
 
 
 
					Originally Posted by  Alice88 
 
 
 I didn't know so I lodged the second stage application 10 weeks later. 
Applied 820 7/08/2015 
Applied 801 25/10/2017 
 
Will this affect the time process? 
On my IMMI account is written that application will take 16 up to 22 months for application submitted by 31st of october. 
 
 
 
 Don't quote me on this, but I'm pretty sure that 801 applications are processed in order of eligibility date not upload date. So, as long as you got your 801 application in before DIBP started processing your application (which you obviously have) you should be fine  
 
Best of luck and try not to stress during the wait!
		 "
3,post1762561,https://www.australiaforum.com/visas-immigration/250194-permanent-partner-visas-801-100-eligibility-notification.html#post1762561,"12-20-2017, 03:25 PM",emilieisabella92,"
			
			Hi guys!  
I am new to this forum, but have been following this forum throughout my partner visa application. 
 
I am from Sweden and my de facto partner is from Australia. We lodge an offshore visa on the 29th of November. Eight days after the lodgment I received an correspondence letter from our CO to my email to ask for a my medical. I booked one asap and I am glad I got in for an appointment as they only had limited appointments available. Only certain panel doctors who are approved in Sweden. Only two and the closest one I had to go to was 2 hours away, Stockholm. I also saw my partner was approved as a sponsor which was a positive sign.  
 
So on Monday morning on the 18th of Dec 2017 we got our visa approved. I am still in shock since it said *estimated global processing time* 11-16 months. Me and my partner probably spent a month gathering documents and putting it all together. and our response was quicker. WOW amazing.  
 
I'ts almost like I am wondering how they could grant it so quick?? we did provide a lot of information and had 6 people writing stats dec and written statements. we basically provided everything except my medical.  
 
Anyone knows how come they do it so fast? is it because its an offshore 309/100 ? me and my partner have been a couple for 2,5 years. Believe me we are super happy about this so I am not questioning their decision but just VERY surprised. Best Xmas present ever!!! 
 
When it comes to the second stage visa I have seen others mentioning I have to upload documents without having a CO letting me know they're looking at our case again.  
How do I know when to start uploading the documents?? just before the 2 year stage. Could it happen they would want to have a look at my case earlier than 2 years? since it was very quick granting my 309 visa. How do I know? and do I just enter my immi account and clique on the second stage visa and start uploading it all there?  
sorry for all my questions. Hope someone could answer me  
xx 
Em
		 "
4,post1777498,https://www.australiaforum.com/visas-immigration/250194-permanent-partner-visas-801-100-eligibility-notification.html#post1777498,"01-09-2018, 08:28 AM",cassieandsam,"
			
			Wow!! Fantastic news! Congratulations! 
I am currently trying to get a visa application together for my English De-facto partner. 
Would you be able to tell me what evidence you provided to get it approved so quickly?  
Any help would be fantastic!!
		 "
5,post1779450,https://www.australiaforum.com/visas-immigration/250194-permanent-partner-visas-801-100-eligibility-notification.html#post1779450,"01-11-2018, 09:54 AM",emilieisabella92,"
 
 Quote: 
 
 
 
 
					Originally Posted by  cassieandsam 
 
 
 Wow!! Fantastic news! Congratulations! 
I am trying to get a visa application together for my English De-facto partner. 
Would you be able to tell me what evidence you provided to get it approved so quickly?  
Any help would be fantastic!! 
 
 
 
 Thank you so much! Me and my partner still cannot believe it but we are so happy!! 
Are you applying for an offshore visa or onshore visa? 
 
We made sure we had all the information they needed, except for medical. We had to wait until a case officer asked me for it, as they provide us with a HAP ID number that your doctor will need.  
 
 Jake - Sponsor Partner  
 
- Copy of Passport 
- Copy of Birth Certificate 
- Copy of his current Lease Agreement 
- Copy of Drivers License  
-Copy of his Police Extract 
- 40sp - He does it online on your immi account. You must submit and pay for the visa before he can fill out his 40sp. 
 
 
 Me - Applicant   
 
- Copy of Birth Certificate 
- Copy of current Passport 
- Copy of Swedish and Australian Police Extract . I provided both since I am not allowed to have any criminal records of my own country and I had been living in Australia for 4 years before applying for our offshore de facto visa. 
- Copy of current Lease Agreement  
- Copy of Drivers License + my international license  
-80 filled out - takes ages 
-47sp - you do in online on your immi account, once you have submitted your visa. 
 
 Relationship Evidence   
 
- Joint Bank account - Evidence of; 
- Bank statements of rent money 
- Money going in and out of joint account 
- Joint Lease agreements - make sure to get a copy of all places you have stayed together at. even if you have been on a holiday together and had 2 nights at a hotel or hostel. But make sure both your names are on it.  
 
 Social aspects: 
 
- Joint invites (e.g birthday parties, weddings, dinners etc. Make sure they are addressed in both your names) 
- Postcards addressed to both you 
- Travels together - photos, bookings of accommodation 
- Photos of both you together with families and/or friends. 
 
 Statutory Decs; 
All together me and my partner provided 6 statutory declarations from friends and family and then you have to write one yourself. 
 
4 - Form 888 ( have to be Australian citizen/or permanent) 
2 - Written statutory declaration from my dad and my non permanent friend who lives in Australia. 
1 - Statutory Declaration from the sponsor 
1 - Statutory Declaration from the applicant 
 
 Evidence of communication: 
 
- Saved messages and phone call extracts during periods of being apart.  
It seems a bit excessive I know, but trust me it is worth using it all. Proves that you are really committed to each other.  
 
This is the most important things you need to use or find out about. Some things I have not gone into details about as you'll learn as you go. But ill send you this link that is really good to read through before you start, or use whilst in the process of providing all your information.  
Be patient. it does take time. I have spent 12 hours/day some days. Onc you start its hard to put it aside as you just want it to be done with. But it is all worth it in the end to put that extra effort into what you both want. To be able to live and spend the rest of your lives together.  
 
Do not hesitate to ask more questions I you have any. More than happy to help. Hope what I have written so far does.  
 "
6,post1785890,https://www.australiaforum.com/visas-immigration/250194-permanent-partner-visas-801-100-eligibility-notification.html#post1785890,"01-19-2018, 05:35 PM",Ranc,"
			
			Thank you for offering your help!   Can you explain a bit more what your  dad and friend wrote in their written statutory declarations? Did they write it similar to form 888? 
 
Thank you in advance!
		 "
7,post1800002,https://www.australiaforum.com/visas-immigration/250194-permanent-partner-visas-801-100-eligibility-notification.html#post1800002,"02-04-2018, 12:24 AM",LisakJohnson,"
			
			That's excellent news. Congratulations to you both.  
 
I have a question: How did you submit your photo's? Did you add a few to a word document? How many did you provide?
		 "
8,post1803834,https://www.australiaforum.com/visas-immigration/250194-permanent-partner-visas-801-100-eligibility-notification.html#post1803834,"02-07-2018, 08:30 AM",Relliott,"
			
			Hi-  
I've just put through our 801 application. I'm unclear what documents that we should upload. Don't they have everything from the 820? Since applying, we've had a child so can upload that but not sure what else to upload that's new. Or do they not keep previous documents and I have to upload everything again?
		 "
9,post1805114,https://www.australiaforum.com/visas-immigration/250194-permanent-partner-visas-801-100-eligibility-notification.html#post1805114,"02-08-2018, 09:57 AM",Sheldonpk,"
 
 Quote: 
 
 
 
 
					Originally Posted by  Relliott 
 
 
 Hi-  
I've just put through our 801 application. I'm unclear what documents that we should upload. Don't they have everything from the 820? Since applying, we've had a child so can upload that but not sure what else to upload that's new. Or do they not keep previous documents and I have to upload everything again? 
 
 
 
 You will have to submit the following  
 
 
AFP for you and your partner 
Statutory Declaration from your partner  
Statutory Declaration from You   
2 X Form 888 
 
Evidence that your relationship is still genuine and continuing 
-              Photos(General) 
-              Joint Lease Agreement 
-              Joint Utility Bills(Gas, Electricity, Water, Phone, Internet, etc.) 
-              Joint Bank Account 
-              Superannuation Beneficiary Details 
-              Any other letters you receive at same address to prove that you are living together 
 "
